security_code,number_of_shares2
33230,67446500
90830,6022414
38080,9073214
59280,10305259
59290,224979134
59300,71693406
59320,31374048
59330,19810845
59820,16170560
60290,8786834
62690,56347591
65600,4104700
72390,34437588
83870,42435428
85590,5898685
91930,9947133
13190,30294793
13200,119293230
13210,269005670
13220,378020
13230,1014404
13240,13258550
13250,14079416
13260,251600000
13270,3067856
13280,1280958
13290,24899960
13300,128719660
13330,52626382
13430,153088871
13440,1127003
13450,116099940
13460,64253380
13480,741759843
13490,31765774
13520,8373687
13560,3410000
13570,130020000
13580,173582
13600,11980000
13640,11163222
13650,655000
13660,2580000
13670,144000
13680,430000
13690,12239396
13760,11739352
13770,44598851
13790,31682790
13800,4169123
13810,5615851
13830,1269700
13840,8459000
13850,130000
13860,43000
13870,4500
13880,3800
13890,5500
13900,31500
13910,76000
13920,31000
13930,5000
13940,4000
13970,2774182
13980,37970458
13990,7571671
14000,12434800
14070,25295260
14130,12604871
14140,26914307
14170,101578764
14180,19451649
14190,30055800
14200,12319117
14290,32276372
14300,13358509
14310,2527000
14320,1935000
14330,8226770
14340,6570655
14350,88767000
14360,4282800
14380,1451685
14390,1299120
14400,1610000
14430,16237209
14440,400000
14450,260700
14460,5151900
14470,19785769
14480,35314623
14490,710000
14500,2174900
14510,3906550
14560,4438168
14570,2071600
14580,928900
14590,3125100
14600,38131
14640,60000
14650,152000
14660,207900
14670,40000
14680,222000
14690,105000
14700,60000
14710,1140000
14720,120000
14730,104470990
14740,8568620
14750,146775580
14760,95478370
14770,6663667
14780,19956019
14790,2917129
14800,483562
14810,2162817
14820,2732559
14830,7153874
14840,29541771
14850,162573
14860,35800
14870,422500
14880,42600214
14890,937790
14900,1385535
14910,289649400
14920,278045
14930,682075
14940,731619
14950,232300
14960,4324551
14970,1571685
14980,836191
14990,630000
15140,54359035
15150,8320218
15180,13004915
15400,16083930
15410,3128243
15420,878150
15430,13907
15450,600000
15460,290000
15470,1806000
15500,3610000
15510,217678
15520,2016801
15530,1649051
15540,2070000
15550,4045500
15570,919132116
15590,200000
15600,120000
15630,416471
15660,409829
15670,11000
15680,910000
15700,20400000
15710,40290000
15720,90000
15730,100000
15740,300000
15750,220000
15760,53000
15770,3777484
15780,3822550
15790,1220000
15800,2852000
15840,164200000
15850,21066228
15860,18217082
15910,52935412
15920,142077905
15930,24321191
15950,86729498
15960,20509712
15970,71183115
15980,154028
15990,15094183
16050,1460199800
16100,1023700
16120,4673862
16130,1141003
16150,178446975
16170,20997
16180,20180
16190,101433
16200,57356
16210,134079
16220,334788
16230,14624
16240,227239
16250,309600
16260,70305
16270,96035
16280,298972
16290,35295
16300,30403
16310,275621
16320,12481
16330,34694
16340,19463
16350,25170
16360,53239
16370,37109
16380,28257
16390,25009
16400,10804
16410,19036
16420,16999
16430,36543
16440,32465
16450,24292
16460,22280
16470,21720
16480,96696
16490,27307
16500,9103
16510,13082935
16520,707280
16530,1635726
16540,2024830
16550,1453670
16560,1585000
16570,3236268
16580,1735531
16590,1554151
16600,1007995
16620,57152569
16630,27116344
16700,1953412
16710,7575000
16720,52529802
16730,53340362
16740,3544976
16750,903467
16760,904311
16770,480200
16780,35790000
16790,25000
16800,5700000
16810,4544630
16820,1940000
16830,14260
16840,26240646
16850,12299242
16860,19892498
16870,61883020
16880,6901879
16890,1189808070
16900,69864617
16910,252581
16920,26214960
16930,7233367
16940,45911756
16950,111428642
16960,40413055
16970,606861
16980,9143164
16990,37340000
17110,4202134
17120,16818831
17160,5691668
17170,11977675
17180,1093245
17190,199776567
17200,106613520
17210,128700644
17220,43060447
17230,8003688
17240,3654829
17260,39224004
17280,11505686
17300,3413806
17340,630860
17360,5249816
17370,12772055
17380,4053103
17390,6086320
17430,758202
17570,123083065
17580,675474
17620,34818697
17640,1141805
17660,13448568
17680,7335507
17700,9102447
17710,5040238
17730,10910559429
17750,8993340
17760,9121835
17770,11964202
17800,18404060
17820,784034
17830,57442659
17870,2529600
17880,685441
17890,6369007
17930,5107464
17950,865195
17980,2175884
17990,20529676
18010,218121340
18020,717637486
18030,784550407
18050,19244430
18070,3190435
18080,297383494
18100,30520977
18110,7162528
18120,518907211
18130,16191729
18140,10442376
18150,15605665
18200,54702940
18210,160579017
18220,17031248
18240,186503370
18260,15507532
18270,34371318
18280,10700916
18320,20293509
18330,37830404
18350,34425533
18400,24997701
18410,3535750
18440,14834736
18470,7244782
18480,17720787
18500,28828453
18520,8062247
18530,32749698
18600,306586111
18610,46601481
18650,54542252
18660,6292574
18670,3309413
18690,25244007
18700,43402777
18710,46816253
18730,45871421
18780,71877351
18790,58460958
18810,119086458
18820,5068415
18830,86420644
18840,8790264
18850,20899807
18870,88354454
18880,12954547
18900,94021790
18920,2058409
18930,285358890
18970,2735978
18980,40402759
18990,8838994
19040,6532954
19050,6783706
19060,18742210
19090,7081188
19110,181372832
19140,26902901
19210,39587498
19250,663801244
19260,51880522
19280,688151505
19290,41711035
19300,23326832
19340,71513107
19380,25151519
19390,7842119
19410,55608352
19420,204259013
19440,216951206
19450,33913370
19460,18691803
19480,1773971
19490,35580213
19500,61472610
19510,112611366
19520,23353261
19540,15645057
19590,71146452
19600,17231208
19610,59593462
19630,252306848
19640,7678713
19650,22151080
19660,6328984
19670,26165022
19680,18786433
19690,71619052
19710,2352079
19720,3856033
19730,49635192
19750,6385727
19760,52206901
19800,21965903
19810,11512829
19820,24056403
19830,97411789
19920,801363
19940,8735197
19970,1982228
19990,630452
20010,76597624
20020,297123412
20030,4578796
20040,31382968
20090,23273650
20310,260000
20320,60000
20330,60000
20340,150000
20350,1395000
20360,250000
20370,60000
20380,20000000
20390,700000
20400,260000
20410,900000
20420,1200000
20430,160000
20440,2500000
20450,200000
20460,360000
20470,60000
20480,600000
20530,30317122
20550,19312090
20580,3877111
20600,196785638
20650,200000
20660,300000
20670,600000
20680,200000
20690,200000
21070,5452756
21080,14192261
99640,10917274
21090,26451940
21120,27109351
21140,26852244
21170,22078948
21200,134165984
21210,75349550
21220,6782959
21240,40869691
21270,160852832
21300,12789254
21340,56013244
21360,3975201
21370,2089200
21380,11101134
21390,6800061
21440,10950432
21460,40363006
21480,19498001
21500,10605653
21510,23030117
21520,11782736
21530,6798620
21540,21192383
21560,3777672
21570,81318284
21580,38123166
21590,15570954
21600,13865686
21620,17161274
21630,10625591
21640,1843437
21680,39115757
21690,6820273
21700,105622243
21720,1605000
21730,7908518
21740,38101551
21750,86998428
21760,2998800
21780,27253940
21790,5525740
21800,7411739
21810,233448545
21830,22586555
21850,6964240
21860,8050623
21910,17408803
21930,107425439
21950,1169217
21980,29645956
22010,50301756
22040,5961630
22060,65812075
22070,16895170
22080,24024387
22090,13085082
22110,25775201
22120,217391476
22150,6923659
22160,3522596
22170,3558937
22180,2094003
22200,21084279
22210,5603705
22220,31119657
22240,3474760
22260,5334157
22290,133654053
22300,1806432
22640,49458374
22660,19484144
22670,160225836
22680,9635991
22690,145033263
22700,67700368
22810,50263693
22820,102912616
22860,8902946
22880,25434950
22910,3337188
22920,31666286
22930,2053704
22940,10467886
22960,295388855
23000,5261261
23010,14675138
23030,3184017
23040,5045430
23050,16984168
23070,7502837
23090,18573017
23110,8912038
23150,360665501
23170,97541789
23210,26054550
23230,2822319
23250,9747759
23260,13900680
23270,91500595
23290,44948554
23300,31382820
23310,101235485
23320,5168162
23340,2306279
23350,13555005
23360,807600
23370,488510230
23380,8043587
23400,16541125
23410,26393190
23420,17367720
23440,13133995
23450,3976294
23490,11355786
23510,7852182
23520,3958155
23530,332269374
23540,18030096
23590,14124917
23620,78243459
23700,118330423
23710,208632942
23720,11483470
23730,4519966
23740,24828618
23750,6654237
23760,6105983
23780,16280580
23790,55025424
23840,39717666
23850,26158200
23880,35755078
23890,22899995
23910,6630888
23930,15537966
23950,41632092
23970,5089606
23980,72162916
24020,4972733
24040,7755600
24050,4540877
24060,9940314
24080,7233015
24100,6720572
24110,15050000
24120,161512342
24130,678398198
24150,10878041
24180,47700166
24240,5709300
24250,3793400
24270,125584210
24280,18756952
24290,16836648
24320,145349764
24330,373049302
24350,11475863
24360,3988518
24370,6587100
24400,46835938
24450,42860629
24490,3996182
24520,447500
24530,31464659
24540,13126202
24590,7502800
24610,75759131
24620,18924047
24640,14064124
24670,8984000
24680,9357740
24690,9959552
24710,15800808
24750,19839275
24770,6477562
24790,8569600
24800,3528372
24810,5520633
24830,3318650
24840,40893326
24870,5650482
24880,5085424
24890,38750700
24910,32293659
24930,4424571
24970,23048850
24980,5676386
24990,9134000
25010,77885791
25020,458078972
25030,878103053
25100,890000
25110,1570000
25120,1440000
25130,760000
25140,190000
25150,1390000
25160,3440000
25170,24650410
25180,4031209
25190,270000
25200,370000
25210,2580000
25220,210000
25230,795400
25240,15517800
25250,2539997
25260,833668
25270,13146100
25280,7394610
25290,505100
25300,50000
25310,199630037
25330,60430524
25400,13735460
25510,2281508
25520,50000
25530,500000
25730,7304552
25790,179354373
25860,1949629
25870,309000000
25880,27412460
25900,16471493
25930,88552508
25935,34246962
25940,21404960
25970,13251770
25990,4822887
26020,34135891
26070,85957738
26080,1480927
26120,9199721
26130,16457284
26510,100058103
26520,6624762
26530,18807439
26540,14020754
26550,13141190
26560,13879800
26590,31963397
26640,22804894
26660,14450789
26670,6606600
26680,6807918
26690,9671300
26700,82532023
26730,10116700
26740,13484221
26750,7032746
26760,8905764
26780,51023766
26810,43884052
26830,2553684
26850,47063027
26860,42541814
26870,4936270
26890,5610584
26920,12687353
26930,11894490
26940,191507463
26950,19743033
26980,15917575
27000,1652470
27020,132959131
27030,12451229
27050,7238463
27060,8747270
27080,3701382
27140,8548279
27150,20473171
27210,2733480
27220,7477100
27260,21998743
27290,12643586
27300,111251297
27330,17704341
27340,61743264
27350,13397926
27360,1176216
27370,6801389
27420,19774573
27430,23886600
27470,1264030
27490,87551593
27500,7708009
27510,11958585
27520,21500914
27530,6848476
27540,4838299
27600,10174654
27610,8153575
27620,14387000
27630,32482349
27640,43173961
27670,33183700
27680,1249239057
27690,7832499
27730,6451907
27760,13778800
27770,3794187
27780,12041452
27800,10956467
27820,75839686
27840,211674363
27880,13841400
27890,6007356
27900,28562806
27910,14024180
27920,27863038
27950,5262790
27960,9239620
27980,2660755
28010,191977694
28020,548099841
28040,6705976
28050,12700484
28060,6948445
28090,143042891
28100,100750283
28110,88742441
28120,12267153
28130,818694
28140,6246518
28150,31821156
28160,9652712
28180,6074861
28190,10413259
28200,6935895
28300,8278078
28310,9410895
28710,133267066
28720,409196
28740,58610741
28750,102128896
28760,9105148
28770,12098165
28820,10157314
28830,6008273
28840,22024567
28920,4918905
28940,16877004
28970,104156734
28990,17877849
29010,6754521
29020,18207144
29030,12403730
29040,18425232
29050,3702639
29070,7610947
29080,29927072
29100,26566001
29110,1828958
29140,1773730949
29150,16475422
29160,11383908
29170,5071576
29180,17551498
29190,1910880
29220,12582751
29230,5044222
29240,8141542
29250,6397743
29260,14157800
29270,14063751
29280,556217468
29290,29037700
29300,138966800
29310,91942123
29700,1403257
29710,237000
29720,239600
29740,2940000
29750,18228656
29760,1000000
30010,35055483
30020,18073198
30030,657404510
30040,3767421
30100,53627816
30110,16745884
30200,2545425
30210,5174843
30230,11591550
30240,3894489
30280,40487133
30300,11263040
30310,18403543
30320,2441442
30340,38506096
30350,5722136
30360,25220465
30380,53397284
30390,590000
30400,18959260
30410,4049448
30420,3381776
30450,2148808
30460,23976509
30470,2398900
30480,175932504
30500,133604313
30530,20966180
30540,8642824
30550,23539275
30570,4316560
30580,7283394
30590,4870886
30630,8958395
30640,248340648
30650,3060721
30660,7416450
30670,8834693
30680,6331310
30690,41915123
30700,1863198
30710,27288500
30730,7652066
30750,13669350
30760,47359151
30770,5669561
30790,10827379
30800,12811720
30820,10224738
30830,2882764
30850,31834600
30860,261753147
30870,44182980
30880,102624046
30890,1765890
30910,15072191
30920,305295182
30930,11315769
30940,6332541
30960,9843879
30970,6019501
30980,24021021
30990,390015764
31010,88767450
31030,57658706
31040,11438089
31050,166351891
31060,21492276
31070,19229628
31090,10783732
31100,38802219
31110,6597498
31130,53636947
31160,185707225
31210,27867424
31230,13187993
31250,1955569
31310,1996400
31320,62565391
31330,3590400
31340,15837125
31350,5103580
31360,878809
31370,6384000
31380,3096020
31390,9816248
31400,14342635
31410,104282432
31430,3149740
31480,63218703
31500,11281328
31510,56356432
31530,21567866
31540,21788791
31560,30068849
31570,13273350
31590,92548924
31600,13250788
31610,5610354
31650,2461360
31660,13021022
31670,130948566
31680,14149410
31690,7110114
31710,7568148
31720,4249903
31730,6868505
31740,2474151
31750,7202644
31760,14315659
31770,919378
31780,19168010
31790,23604305
31800,6375518
31810,1771000
31820,33591376
31830,28708237
31840,2099936
31850,11747950
31860,72792778
31870,17369900
31890,4290661
31900,7055500
31910,69233694
31920,6662578
31930,11587562
31940,11213348
31950,8104693
31960,18497400
31970,197083700
31980,25729606
31990,9861452
32010,72694617
32020,29894438
32040,8918744
32050,32430114
32090,1402908
32210,10316939
32220,128271588
32230,1491219
32240,2753300
32260,484522
32270,1643125
32280,21217079
32300,18228656
32310,184550637
32320,99152945
32340,1874960
32360,27990435
32370,37070600
32380,7739959
32410,11344934
32420,25158038
32440,38367248
32450,39759088
32460,10156800
32480,3180854
32490,1698816
32500,346026761
32520,18039059
32540,62077641
32580,34220295
32600,1487959
32610,3837774
32640,58948922
32660,37464871
32670,5547728
32690,1350000
32710,13518524
32750,7713024
32760,18149016
32770,8447558
32780,907458
32790,771224
32800,6166833
32810,3833420
32820,640834
32830,2185950
32840,56956795
32860,4782812
32870,221862
32880,56255729
32890,719028215
32900,239908
32910,288381661
32920,1777347
32930,4017162
32940,6295200
32950,1251000
32960,449930
32970,2711940
32980,8887056
32990,24360941
33000,6804396
33020,26275276
33060,3666450
33080,74632
33090,3762091
33150,291030848
33160,6272485
33170,1445269
33190,18273750
33200,7320139
33210,7905466
33220,2826317
33260,1940455
33280,11937922
33290,8069742
33330,26158050
33410,14993810
33440,7555603
33460,8285186
33470,25876900
33490,19799567
33500,56304477
33520,2229653
33530,1906183
33550,19496056
33580,3873000
33590,10863429
33600,47630165
33610,19790245
33700,1633421
33710,13123778
33720,12256833
33740,2933467
33750,1456000
33760,4866918
33770,13965600
33820,884568599
33840,1776333
33850,19740219
33860,5928000
33870,93389367
33900,59953781
33910,48351930
33920,7373483
33930,9765189
33950,21303243
33960,6949698
33970,42582867
33990,2420444
34010,191812131
34020,1599871341
34050,347028670
34070,1396124949
34080,6132911
34090,1234970
34150,47272482
34160,2246525
34170,13990270
34180,8666258
34190,1127771
34200,7359732
34210,17563923
34220,11856965
34230,29908072
34240,2740428
34260,3989820
34310,6805779
34330,60794884
34340,9552522
34350,8175890
34360,293277964
34370,790547
34390,2531517
34400,6424650
34410,4615950
34420,1203962
34430,5857229
34440,12194987
34450,12807368
34460,5834980
34470,13988800
34510,283015
13320,311146208
34520,7954528
34530,507700
34540,14011738
34550,311001
34560,468500
34570,19421134
34580,25053249
34590,504100
34610,6209392
34620,4547300
34630,254974
34650,14191156
34660,1100000
34670,5700930
34680,540824
34690,3429798
34700,132340
34710,379000
34720,235347
34730,333001
34740,6438500
34750,7147580
34760,1581640
34770,1999741
34780,500000
34790,32672500
34800,4768895
34810,245815
34820,21263888
14010,7279000
34830,475000
34840,8911965
34860,7546880
34870,231150
34880,223400
34890,4980000
34900,950955
34910,8708067
34920,345500
34930,357143
34940,1565600
34950,1303300
34960,1461000
34970,2885200
34980,1368600
35010,6858179
35040,15497520
35120,19277659
35130,4753078
35150,931672
35210,42711947
35240,2593716
35260,5999494
35280,444310866
35290,16033551
35360,30325252
35370,3578476
35380,9339780
35390,26638650
35400,10000000
35410,21004730
35420,10279597
35430,45449990
35440,4594564
35450,9124984
35460,29945573
35470,9200520
35480,36410400
35490,31524114
35500,6287852
35510,8474612
35530,24498263
35560,9879500
35570,3011120
35580,11063180
35590,2238107
35600,2318041
35610,23646900
35620,3100520
35630,29012434
35640,43863100
35650,6632454
35660,2459896
35690,56090293
35710,12726807
35770,3335416
35780,1424366
35800,42903692
35830,2762976
35910,65178151
35930,30189938
35970,2883078
35980,14139091
36000,1376768
13820,761787
36040,5795634
36060,101128076
36070,8713677
36080,93998331
36110,9997148
36120,33286065
36220,6998887
36230,3187159
36240,5276767
36250,7250166
36260,84430630
36270,11483500
36280,3540169
36300,9785099
36320,236086942
36330,5195854
36340,2452817
36350,126403881
36360,16245884
36390,5139694
36400,5558468
36410,9893359
36450,5386385
36460,5478084
36470,14416881
36480,17816180
36490,25597267
36510,11772000
36520,3131331
36530,5382300
36550,6760461
36560,37531600
36570,37847066
36580,5532249
36600,64747092
36610,9026279
36620,19513638
36630,7199850
36640,19558308
36650,20821000
36660,19719800
36670,10316700
36680,127506031
36700,1196802
36710,1986412
36720,13996609
36730,87406537
36740,10252549
15690,1386000
36750,19562818
36760,21874594
36770,23670400
36780,12340948
36790,111063910
36800,15370100
36810,24172000
36820,6869416
36830,4850895
36860,20337200
36870,33007290
36880,25395498
36890,14612705
36900,6294019
36910,3430535
36920,8189941
36930,722600
36940,27511198
36950,1638520
36960,11036004
36970,14865240
36980,4905286
37080,13878617
37100,5140057
37110,14654255
37120,3349854
37190,18500495
37230,10279774
37260,6780700
37270,17118469
37330,5442657
37380,55728172
37390,5737264
37410,5119278
37440,8668632
37470,7185600
37500,6712630
37510,26874235
37530,9455588
37560,18249944
37580,23110454
37600,5223665
37620,19071641
37630,15140100
37650,711733122
37660,3496515
37680,3807600
37690,74295924
37700,12732499
37710,4179107
37720,8271868
37730,18267391
37740,45070489
37750,4913058
37760,53212225
37770,138385080
37780,36480056
37790,10472673
37820,41530300
37840,17717466
37870,2593067
37880,11519384
37910,4906958
37930,28389934
37940,17632403
37960,6901451
37980,5739933
37990,8502357
38000,8405141
38020,1605600
38030,2016241
38040,6492882
38070,38344300
38100,6792602
38140,2463500
38150,10078923
38160,2950202
38170,12336721
38220,8609160
38230,24294600
38240,903600
38250,56999200
38260,11008162
38300,7518609
38340,27805421
38350,22979136
38360,18783716
38370,9100656
38390,8197968
38400,28240000
38410,1924055
38420,2057167
38430,22195167
38440,15624137
38450,16031900
38470,1479713
38480,3012899
38490,1595400
38500,4954766
38510,5052353
38520,8020856
38530,16755509
38540,12521264
38560,5162566
38570,25558988
38580,10456955
38610,989619751
38630,115723013
38640,44661035
38650,189050432
38770,13351584
38780,10122969
38800,150092851
38910,10756685
38920,4949124
38950,7804679
38960,9974662
39000,15100112
39010,13150971
39020,40025997
39030,30116000
39040,15156436
39050,11904800
39060,3242345
39070,2888200
39080,4789768
39090,6776800
39100,5427688
39110,35382100
39120,9077837
39130,1915229
39140,6545387
39150,12304590
39160,15361302
39170,6599273
39180,4112624
39190,7625331
39200,5515539
39210,14815163
39220,6638171
39230,45303704
39240,5984787
39250,6729850
39260,30995637
39270,4215137
39280,8457846
39290,5928836
39300,2898092
39310,1792515
39320,13865840
39330,3836676
39340,5894413
39350,4793955
39360,1164658
39370,11483306
