security_code,number_of_shares2
70330,5527371
70340,2568600
70350,4732364
70360,920000
70370,1526100
70380,2850978
70390,1706266
70400,6483156
44430,29432353
70410,5452465
70420,1219800
70430,2554400
70440,3544371
70450,1545000
70460,2050000
70470,11477150
70480,28578000
70490,2489500
70500,4328600
70560,600000
70570,3189500
70580,1506500
70590,4710000
70600,5152420
70610,7444000
70620,2328600
70630,2320500
70640,1267400
70650,1532000
70660,1968000
70670,1538600
71020,14433876
71050,74213167
71220,6882262
71480,88619106
71500,5530993
71570,51145000
71610,178671317
71620,13160196
71640,68781014
71670,1173083505
71690,18089402
71700,2958660
71720,29691382
71730,30373248
71750,2659918
71760,1428000
71770,117682785
71800,451513452
71810,562397500
71820,3748791650
71830,17976600
71840,66495879
71860,1232414332
71870,8794340
71890,152250192
71900,17382289
71910,22194445
71920,7004145
71960,10199782
71980,34887131
71990,13201198
72010,3912904489
72020,737509742
72030,2832439167
72050,573979333
72080,5123327
72110,1488312896
72120,18678443
72130,11353441
72140,5211105
72150,9377972
72170,5193625
72180,9760745
45770,12513720
72190,707605
72200,65118849
72220,135453379
72240,65188381
72260,39726802
72270,5709606
72280,2344003
72290,14818306
72300,65061505
72310,23495503
72350,14387938
72380,133244021
72400,172971632
72410,89477622
72420,25543597
72440,96128637
72450,47519929
72460,109901554
72470,33631174
72490,1154397
72500,60311412
72510,73958041
72540,20830685
72550,3828963
72560,38679295
72590,269488806
72610,629760122
72640,6042166
72650,1015221
72660,20793759
72670,1759561385
72690,461333010
72700,766761032
72710,11963330
72720,349329116
72730,1523420
72740,75965671
72760,160731216
72770,29325724
72780,48140115
72790,38018507
72800,44757730
72820,129435111
72830,62986900
72840,3500622
72870,57267454
72910,19385691
72920,12770796
72940,23769758
72960,49688055
72970,7054227
72980,24013355
72990,2054005
73050,5571160
73090,92701511
73130,67997725
73140,3093055
73150,47730735
73200,4985100
73210,372461595
73220,26027576
73230,5337357
73250,8307844
73260,22820530
73270,45586258
73990,6766089
74040,32614716
74080,26825142
74120,184087308
46870,24092166
74130,699785
74140,21859211
74160,16304224
74170,6367665
74190,50029627
74200,16455102
74210,48820430
74220,509204
74250,818558
74260,1110929
74270,6029601
74330,20554252
74340,4027942
74350,9238365
74380,26789705
47220,44707664
74410,6029834
74420,20111813
74430,6257776
74440,5374299
74450,27580285
74460,937323
74470,33252878
74480,14373185
74500,10768677
74510,57137597
74530,26269214
74550,50966661
74560,26332790
47540,4730097
74580,56653910
74590,222465009
74610,14832876
74620,720846
74630,45171316
74640,478777
74650,6911825
74660,5021100
74670,8831335
74720,4321124
74750,9255704
74760,18667052
74770,1419699
74800,13901741
74810,9048261
47760,45878365
74820,23254322
74830,37297197
74850,9626065
74860,12281925
74870,8370860
74900,6726504
74940,29116926
75000,3364563
75010,2476550
75020,12819557
75040,19312718
75050,1444982
75060,4702471
75080,12110582
75090,1500781
75100,14714768
75120,105652958
75130,77911797
75140,12320581
75150,752356
75160,34470665
75180,84671304
75190,2019635
75200,10261643
75210,7443463
75220,39092980
75230,11544704
75240,8028402
75250,8170697
75270,67942841
75310,3915691
75320,158294401
75330,8706200
75370,26135083
75380,13724920
75390,11566033
75440,7574695
75450,62093431
75500,145388899
75510,16038165
75520,21822949
75540,14979284
75550,5087674
75590,5728806
75610,9389898
75620,2138270
75640,81610432
75650,2288029
75670,5078736
75700,10132553
75710,34040189
75750,80414264
75770,14780974
75780,1249521
75810,48882131
75850,3811605
75870,10954105
75900,14578329
75910,8666124
75930,117349354
75940,8451044
75950,21353560
75960,13751937
75970,442111
75990,101407469
76000,26401340
76010,11787414
76020,20673038
76030,15336804
76040,8007523
76050,10208639
76060,28375420
76070,13323191
76080,8354917
76090,11087229
76100,54772300
76110,37997259
76120,74486411
76130,47243740
76140,6751181
76150,11942386
76160,75035653
76180,50205855
76190,8807857
76210,5234722
76230,3132535
76240,54761470
76250,10224829
76280,14746521
76300,31925462
76340,3262780
76350,5365167
76360,14257947
76370,11342008
76380,325945543
76400,12084518
76430,11426552
76460,8084755
76470,195378235
76490,61814047
76700,10343058
76710,2104036
76720,110100
76730,2666320
76740,2106900
76750,8781749
76760,1532500
76770,2880000
76780,4710420
77010,294567690
77020,24376917
77030,20615283
77050,10259942
77070,25066900
77090,13767841
77110,5868520
77130,7082324
77150,19387206
77160,86644830
77170,4834800
77180,35887764
77190,7130947
77210,16454759
77220,14015379
77230,5129047
77250,11046744
77260,5620586
77270,22404109
77290,41624390
77300,32808925
77310,396258874
77320,106031431
77330,1365683316
77340,23253542
77350,46658078
77390,40834309
77400,25734362
77410,379967603
77430,25033470
77440,35613839
77450,20488365
77460,23125690
77470,130074532
77480,3340181
77490,8477676
77510,1063833768
77520,724862648
77580,1711716
77600,16221218
77620,318282840
77680,1666563
77690,8261768
77710,19503208
77740,40609984
77750,28728441
77760,11459265
77770,28052854
77780,5798337
77790,137445671
77800,35230516
77810,1733259
77820,6208100
78050,5460400
78060,39729908
78070,4207560
78080,1815300
78090,2727553
78100,16723961
78110,8172337
78120,3068380
78130,3725328
78140,12508794
78150,2562391
78160,15448548
78170,30063127
78180,28608588
78190,13409873
78200,12528576
78210,31452008
78220,45295384
78230,32553461
78260,6181643
78270,1730897
78290,35296000
78310,24598110
78320,219790598
78330,9659761
78340,17227776
78360,24724500
78370,4212180
78380,46568450
78390,13771567
78400,39281864
78410,8729929
78440,51720679
78460,39443621
78470,6429536
78490,1919853
78500,2999480
78510,4730889
78550,2035755
78560,14466620
78570,4165443
78590,11883879
78600,43295422
78620,110996433
78630,3683385
78640,57047383
78650,4374247
78670,95239377
78680,24912295
78690,398218
78700,5999634
78710,20615547
78720,10627940
78730,403424521
78740,35299270
78750,8084154
78770,1266056
78780,374284
78830,15497354
78850,15196189
78860,1004787
78870,966962
78880,30483979
78910,2747369
78930,26919536
78940,1587401
78950,20148860
78960,1488890
78970,28352760
78980,9331581
78990,5239394
79010,377465
79030,364119
79050,26016654
79060,87437149
79080,49150446
79110,321833478
79120,301819601
79130,42781489
79140,8697452
79150,49912586
79160,3075551
79170,19032277
79180,31910600
79190,17179624
79210,11177251
79220,6192943
79250,14953651
79270,7186764
79280,3227900
79310,17164265
79320,2876486
79360,188882303
79370,17089872
79380,3157707
79400,9533290
79420,29809278
79430,36982769
79450,8899141
79460,1116094
79470,41339920
79490,9221698
79500,812263
79510,178219957
79520,8555006
79530,12509159
79550,36601004
79560,119760782
79570,1531293
79580,24128477
79590,10197285
79610,4144853
79620,28422465
79630,5004995
79650,67603234
79660,72215070
79700,81246074
79710,61688511
79720,45664317
79740,119124736
79750,1697049
79760,57105958
79790,15902879
79800,7111394
79810,73138634
79830,2905073
79840,118289309
79850,1197554
79860,1774590
79870,25729612
79880,103178405
79890,19458198
79900,11485901
79910,8678724
79920,14606612
79940,110147878
79950,17571444
79970,1703618
79990,4550369
80010,1510900422
80020,1735350887
80050,34272770
80060,4494236
80070,4495494
80080,22568522
80110,12098181
80120,124011933
80130,8210716
80140,24556361
80150,351887205
80160,137335513
80180,43705202
80200,83505536
80220,25380706
80230,13694272
80250,3982748
80280,506113256
80290,7674089
80300,3994893
80310,1738074088
80320,14092976
80350,163958394
80360,137526180
80370,33600906
80380,3817236
80390,2244057
80400,3335032
80410,5551290
80430,9739691
80440,3148322
80450,7067134
80460,3579826
80500,41215623
80510,94597832
80520,6260939
80530,1248914802
80560,100348095
80570,9778103
80580,1586977251
80590,10655246
80600,129667077
80610,12657613
80650,21454056
80660,24863366
80680,24542409
80700,26904672
80710,2173879
80720,697397
80740,22126595
60490,20916898
80750,8854944
80760,10067729
80770,25247956
80780,40635312
80790,16949440
80810,28482145
80840,21700222
80850,5297301
80860,163097623
80870,14496645
80880,49201103
80890,9377737
80900,10940341
80910,3404293
80930,6375269
80960,28597707
80970,69774468
80980,60496725
81010,6316096
81030,41763227
81040,15029528
81050,56244523
81070,111000547
81080,20189815
81110,22623846
81130,592522507
81140,75408067
81150,4868630
81170,18043328
81180,18235453
81190,2344633
81230,1825987
81250,51931079
81270,20548459
81290,68149831
81300,61285868
81310,61946238
81320,10876689
81330,112878644
81350,19575068
81360,84856718
81370,16042978
81380,1296263
81390,15335567
81400,23429710
81410,19229830
81420,10757334
81430,2349948
81440,6100431
81450,1761459
81470,5547714
81500,19178185
81510,24485583
81520,1940637
81530,30828590
81540,27447194
81550,32126826
81570,17227800
81580,24941824
81590,25238257
81600,25533628
81630,33208737
81650,40190286
81660,24365821
81670,46507720
81680,65137567
81710,31499235
81730,26622391
81740,41475134
81790,37324479
81810,2568484
81820,46350732
81840,42507987
81850,35565059
81860,27782846
81900,19154807
81940,46869176
81980,17825272
82000,24886595
82020,64469903
82030,33195887
82050,1361773
82070,26151853
82080,6838291
82090,2852266
82140,85925174
82150,1725355
82170,44623932
82180,50652406
82190,49979132
82250,625591
82270,36752012
82280,22051504
82300,18132692
82330,174733597
82370,52975251
82420,123592099
82440,40377355
82470,5611871
82490,18641566
82510,101098450
82520,217445650
82530,163410540
82540,3120207
82550,23342346
82560,20485540
82570,802317
82600,11457235
82670,841697245
82730,71658500
82750,25098171
82760,52449873
82780,38228182
82790,38830073
82810,44211980
82820,227667175
82830,63547248
82850,61571885
82870,52496580
82890,22971220
82910,66395908
82930,33585686
82980,5604217
83010,1000000
83030,245311385
83040,116677751
83060,12922453989
83080,2316821477
83090,378596918
83160,1395600502
83310,761399368
83340,426822768
83360,33494914
83370,62207114
83380,82532877
83410,74301790
83420,20265382
83430,17950569
83440,32592822
83450,17915145
83460,252057436
83490,9471588
83500,17578520
83540,190936131
83550,583903219
83560,37357493
83580,231651006
83590,495911925
83600,33020686
83610,41774113
83620,23860745
83630,28917126
83640,11579862
83650,5431055
83660,51135569
83670,32599917
83680,253731323
83690,75508407
83700,68366797
83770,131124823
83790,311416361
83810,156020296
83820,188316858
83830,9363634
83850,316472582
83860,29511946
83880,42940771
83920,15730389
83930,17233444
83950,16743610
83970,23943041
83980,6092843
83990,42858143
84100,1191632629
84110,25358536541
84160,10115636
84180,253603772
84210,708222
84240,30145345
84250,48856873
84390,105616028
84620,8901343
84730,228243892
85080,105871372
85110,92669135
85180,17703383
85210,8964624
85220,18806117
85240,393214590
85270,10847370
85300,21697179
85370,9487293
85400,2708172
85410,39111285
85420,11492522
85440,132004370
85500,104300278
85510,8557966
85540,8047556
85580,36903927
85600,5288426
85620,22976986
85630,12673660
85660,31216403
85700,215778106
85840,34366788
85850,1716965511
85860,116856782
85890,1524205616
85910,1281785345
85930,890496044
85940,7383199
85950,30930736
85960,22580370
86000,162489467
86010,1566287831
86040,3320727184
86090,198247948
86130,66504606
86140,83027636
86160,258366680
86170,9414692
86220,69454489
86240,41795423
86280,256809239
86300,372426159
86860,1347539809
86920,24999750
86970,535632828
86980,265722278
86990,39644276
87000,3991179
87030,333250731
87040,145790151
87050,10724754
87060,31901504
87070,23489113
87080,42924778
87090,5876331
87130,181393182
87140,279163075
87150,20209585
87250,583711749
87290,435025558
87320,31815298
87370,30100003
87390,201340190
87400,6624610
87420,9444398
87460,15437265
87470,8015771
87500,1145557775
87660,706556784
87690,16934070
87710,42505094
87720,32976000
87830,9486851
87890,201109600
87930,21532934
87950,611958309
87980,10321168
88010,979432902
88020,1388286139
88030,38681877
88040,209014367
88060,116626636
88180,52686624
88300,473940149
88350,7779339
88360,96013212
88410,96919841
88420,5980630
88440,33906528
88480,243815005
88500,52607459
88540,1554713
88600,35288472
88640,49759571
88690,24893684
88710,35261802
88760,149306463
88770,15430240
88810,46905828
88850,5274975
88860,1458222
88870,11849800
88890,17798392
88900,38449886
88910,2857769
88920,68471987
88930,19905161
88940,73688417
88970,108412693
88980,10577454
89030,4734451
89040,14580745
89050,227488330
89080,17999916
89090,33998130
89120,20250000
89140,12630869
89170,13876614
89180,1440726003
89190,38071439
89200,38306317
89220,774645247
89230,47539995
89250,337218907
89270,23613840
89280,5333474
65400,9871197
89290,11986622
89310,11099798
89340,48698856
89350,32685343
89380,5559922
89400,8931991
89440,24171615
89450,9582969
89460,17925000
89510,1412000
89520,1385210
89530,2618017
89540,2760000
89550,923000
65580,2212121
89560,1316995
89570,977600
89580,961884
89600,3055087
89610,1320000
89630,5666840
89640,496000
89660,1014847
89670,905073
89680,796000
89720,428510
89750,1532287
89760,491877
89770,695200
89790,253777
89840,2075000
89850,4462347
89860,1640060
89870,1305700
89950,2011848
89960,4069940
90010,211262539
90030,97983052
90050,607930052
90060,275387982
90070,360272398
90080,122102916
90090,169269500
90100,53106109
90120,1486042
90140,10978189
90170,3842514
90200,381160555
90210,192351606
90220,196076941
90240,309658959
90250,55460961
90270,6100376
90280,16529873
90290,12836258
90310,78858385
90330,30325990
90340,4979400
90350,34053852
90360,5415055
90370,19005318
90390,20534511
90400,746543
90410,190100182
90420,244740090
90440,113342774
90450,107187799
90460,8038605
90480,196501667
90490,1988189
90510,4736592
90520,22222015
90550,35315544
90570,7460894
90580,9783425
90590,10762913
90600,1368401
90620,94548534
90630,2027706
90640,394274466
90650,60504290
90660,19765481
90670,28887372
90680,20273443
90690,151837461
90700,9064267
90720,66096053
90730,3081570
90740,3308239
90750,50152827
90760,203865613
90770,6483212
90780,11031757
90810,12272019
90820,4130969
90850,2617601
90860,111549449
90870,993942
90900,32047476
90990,25457211
91010,168705366
91040,119594124
91070,93271910
91100,23566949
91150,32736755
91190,105807109
91270,1930459
91300,3823899
91420,160000000
91430,317602089
91710,12586925
91730,2194931
91760,14244051
91790,2935596
92010,348826743
92020,334629426
92060,2865368
92330,17984845
92600,14353028
92610,2158400
92620,5290923
92630,226043102
92640,1987600
92650,2552929
92660,3098000
92670,15357775
92680,5292489
92700,6089890
92710,2818700
92720,2418100
92730,9904720
92740,73142308
92750,10054430
92760,257000
92770,29934767
92780,17447413
92790,4896000
92810,138574
92820,102966
92830,121666
92840,231190
92850,46039
92860,91825
93010,87592039
93020,24836433
93030,85501223
93040,15204822
93050,10624726
93060,38178635
93070,16170847
93080,24872232
93100,64111046
93110,1414833
93120,6529226
93130,5833236
93180,472419547
93190,19022558
93220,7607917
93240,29177314
93250,10816354
93510,7702563
93530,1501314
93550,2697606
93570,29804430
93590,24805878
93600,2942053
93610,2583196
93620,1167878
93630,6215198
93640,119434693
93650,1465136
93660,5582121
93670,8897754
93680,12068251
93690,12428424
93750,71997633
93760,3690000
93770,13947938
93800,27810327
93810,23272767
93840,9717229
93850,6541995
93860,13867963
93880,172500
93990,32086814
94010,174666632
94020,26398565
94040,255345183
94050,40896968
94070,2192246
94080,5998964
94090,107161727
94120,297007848
94130,28278140
94140,17803895
94160,16232552
94170,9897110
94180,60063011
94190,10531174
94210,5292850
94220,44737816
94230,23422800
94240,160413235
94250,3409000
94280,9596915
94320,1902093808
94330,2351050672
94340,4787145170
94350,45884986
94360,27311726
94370,3335230961
94380,54698866
94390,11332052
94410,6413698
94440,6412219
94450,16693195
94460,10251872
94490,115095034
94500,9598880
94660,13519909
94670,9687280
94680,63255995
94700,9220866
94710,6265254
94740,52275378
94750,18177772
94760,3730583
94780,22314125
94790,32997441
95010,1602225666
95020,756639419
95030,893171298
95040,344241697
95050,208782016
95060,499238986
95070,205918659
69630,104506635
95080,472974375
95090,205509523
95110,51827674
95130,183048949
95140,21627099
95170,50603978
95190,75194800
95310,449945086
95320,415812799
95330,106335190
95340,17609081
95350,67730289
95360,37107165
95370,4793995
95390,10724846
95430,73875181
95510,25923350
96000,15898713
96010,13737316
96020,179660789
96030,57322328
96050,12621331
96100,5154038
96120,8081973
96130,1402499047
96160,38990696
96190,24598463
96210,14140158
96220,24162149
96240,8782895
96250,2750305
96270,35427484
96280,5616294
96290,6651228
96310,6383993
96320,2570686
96330,7677753
96350,1046454
96360,2788865
96370,3165964
96390,11112927
96400,16199554
96410,42102428
96430,530856
96440,8613126
96470,584916
96510,9839733
96560,10337423
96580,5827657
96610,12103063
96630,15390316
96640,4979426
96710,7686738
96720,28558218
96740,1757175
96750,8784218
96780,38739058
96790,1396434
96810,92297529
96820,23308345
96840,119207064
96850,5079519
96860,10485338
96870,5944797
96910,3498905
96920,34923826
96950,8939845
96960,9472772
96970,106751308
96980,8299151
96990,28037105
97010,3340842
97020,5105793
97040,253944575
97060,81228527
97070,8598121
97080,59324084
97090,18427939
97130,10242861
97150,41475246
97160,55631850
97170,17001098
97190,103830022
97200,1176251
97220,11981236
71850,6410348
97230,11091344
97260,27323851
97280,35123620
97290,36001399
97310,3809264
97330,8847056
97340,2600617
97350,218260352
97390,14899648
97400,14590002
97420,23765840
97430,47845356
97440,27904831
97460,26230485
97490,31294099
97530,9961448
97550,26112929
97570,50478229
97580,26036043
97590,41403736
97600,19780024
97610,3476039
97630,3333229
97650,16888704
97660,135233041
97670,1824242
97680,7139755
97690,11211991
97760,3423302
97780,591062
97800,949770
97820,5823046
97830,96326959
97870,49913929
72360,7959445
97880,22405269
97900,20675563
97910,7543835
97920,64346705
97930,42761399
97950,16448365
97970,7185967
97990,7772653
98100,32258781
98120,6408923
98160,8776980
98180,7620265
98200,1076709
98230,10794838
98240,9822904
72680,5995173
98260,822414
98270,12294987
98280,8828014
98290,956597
98300,65944414
98310,813320581
98320,79847904
98350,8065327
98360,5785313
98370,27380300
98420,40557738
98430,112223179
98450,25713127
98460,11526712
98490,663165
98500,22574235
98520,2066625
98530,6104478
98540,19408275
98560,31306585
98570,6329017
98610,64573670
98670,864590
98690,35650367
98720,9278453
98730,22350881
98760,27584168
98780,1667098
98800,14688382
98820,46109813
98850,15835992
98870,19056277
98880,11019465
98890,16499808
98900,9983478
98950,1793843
98960,30833859
98990,16038448
99000,26485062
99020,31403486
99030,7006365
99040,27204733
99060,8467770
99080,7847028
99090,875054
99130,8996425
99140,2286479
99190,31444012
99270,1093578
99280,30872776
99290,9642818
99300,18590826
99320,11057409
99340,27793079
99360,18757775
99410,1327466
99420,29442488
99430,16533571
99450,38288971
99460,28997733
99480,56247670
99500,2961857
99550,11558286
99560,53694268
99590,12380023
99600,13617142
99620,283632871
99660,4204566
74600,8262068
99670,1813150
99690,9603700
99720,16920398
99730,34720100
99740,20866900
99760,5385958
99770,5733760
99780,13976802
99790,20684078
99800,101294998
99820,9327347
99830,102050926
99840,1034789641
99860,6264673
99870,91272184
74880,5245463
99890,116893665
99900,29457036
99910,36397423
99920,6491619
99930,10890377
99940,10842105
99950,23913524
99960,8940792
99970,96913218
79020,3664964
82260,15119643
85150,483702954
89990,28857955
93580,43247313
13010,10819171
13050,2583005024
13060,5488517797
13080,2501550710
13090,131385
24380,16841059
24850,22403330
40610,86948758
44250,6906600
44260,999700
44270,8690558
56970,6044504
44280,1199400
46310,94646995
66940,2279906
67370,21320451
69470,23249689
48000,13902897
92320,14422201
13100,2603675
13110,2828986
13120,110120
13130,220400000
21960,11880055
65430,1931248
78790,16285268
80950,32579908
85720,1566614208
79230,5033247
79390,3724579
24170,3960301
